PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
DEUTNP,1,2000,10,b,30,5,83,O,O
DEUTNP,1,2000,10,b,35,5,167,O,O
DEUTNP,1,2000,10,b,40,5,212,O,O
DEUTNP,1,2000,10,b,45,5,334,O,O
DEUTNP,1,2000,10,b,50,5,465,O,O
DEUTNP,1,2000,10,b,55,5,721,O,O
DEUTNP,1,2000,10,b,60,5,1218,O,O
DEUTNP,1,2000,10,b,65,5,1418,O,O
DEUTNP,1,2000,10,b,70,5,1958,O,O
DEUTNP,1,2000,10,b,75,5,2583,O,O
DEUTNP,1,2000,10,b,80,5,2023,O,O
DEUTNP,1,2000,10,b,85,5,3211,O,O
DEUTNP,1,2000,10,b,90,5,1723,O,O
DEUTNP,1,2000,10,b,95,+,528,O,O
DEUTNP,1,2000,10,b,TOT,.,16908,O,O
DEUTNP,1,2000,11,m,0,30,158,O,O
DEUTNP,1,2000,11,m,30,5,62,O,O
DEUTNP,1,2000,11,m,35,5,92,O,O
DEUTNP,1,2000,11,m,40,5,135,O,O
DEUTNP,1,2000,11,m,45,5,223,O,O
DEUTNP,1,2000,11,m,50,5,256,O,O
DEUTNP,1,2000,11,m,55,5,462,O,O
DEUTNP,1,2000,11,m,60,5,754,O,O
DEUTNP,1,2000,11,m,65,5,888,O,O
DEUTNP,1,2000,11,m,70,5,1071,O,O
DEUTNP,1,2000,11,m,75,5,1116,O,O
DEUTNP,1,2000,11,m,80,5,747,O,O
DEUTNP,1,2000,11,m,85,5,949,O,O
DEUTNP,1,2000,11,m,90,5,430,O,O
DEUTNP,1,2000,11,m,95,+,88,O,O
DEUTNP,1,2000,11,m,TOT,.,7431,O,O
DEUTNP,1,2000,11,f,0,30,85,O,O
DEUTNP,1,2000,11,f,30,5,25,O,O
DEUTNP,1,2000,11,f,35,5,32,O,O
DEUTNP,1,2000,11,f,40,5,68,O,O
DEUTNP,1,2000,11,f,45,5,96,O,O
DEUTNP,1,2000,11,f,50,5,145,O,O
DEUTNP,1,2000,11,f,55,5,258,O,O
DEUTNP,1,2000,11,f,60,5,384,O,O
DEUTNP,1,2000,11,f,65,5,499,O,O
DEUTNP,1,2000,11,f,70,5,769,O,O
DEUTNP,1,2000,11,f,75,5,1340,O,O
DEUTNP,1,2000,11,f,80,5,1231,O,O
DEUTNP,1,2000,11,f,85,5,2088,O,O
DEUTNP,1,2000,11,f,90,5,1337,O,O
DEUTNP,1,2000,11,f,95,+,439,O,O
DEUTNP,1,2000,11,f,TOT,.,8796,O,O
DEUTNP,1,2000,11,b,0,30,243,O,O
DEUTNP,1,2000,11,b,30,5,87,O,O
DEUTNP,1,2000,11,b,35,5,124,O,O
DEUTNP,1,2000,11,b,40,5,203,O,O
DEUTNP,1,2000,11,b,45,5,319,O,O
DEUTNP,1,2000,11,b,50,5,401,O,O
DEUTNP,1,2000,11,b,55,5,720,O,O
DEUTNP,1,2000,11,b,60,5,1138,O,O
